LeftTach: 35978, LeftSteps: 598, RightTach: 34056, RightSteps: -619
LeftTach: 33502, LeftSteps: 597, RightTach: 32635, RightSteps: -624
LeftTach: 52229, LeftSteps: 902, RightTach: 44923, RightSteps: -944
LeftTach: 36079, LeftSteps: 1206, RightTach: 35371, RightSteps: -1262
LeftTach: 50464, LeftSteps: 1508, RightTach: 33922, RightSteps: -1582
LeftTach: 34272, LeftSteps: 1814, RightTach: 40299, RightSteps: -1900
LeftTach: 32945, LeftSteps: 2121, RightTach: 28042, RightSteps: -2219
LeftTach: 50839, LeftSteps: 2427, RightTach: 43594, RightSteps: -2537
LeftTach: 31185, LeftSteps: 2732, RightTach: 29923, RightSteps: -2857
LeftTach: 48357, LeftSteps: 3033, RightTach: 54387, RightSteps: -3174
LeftTach: 33667, LeftSteps: 3337, RightTach: 32314, RightSteps: -3492
LeftTach: 56330, LeftSteps: 3641, RightTach: 44853, RightSteps: -3810
LeftTach: 41911, LeftSteps: 3944, RightTach: 38754, RightSteps: -4127
LeftTach: 38392, LeftSteps: 4246, RightTach: 47729, RightSteps: -4441
LeftTach: 38786, LeftSteps: 4552, RightTach: 37323, RightSteps: -4760
LeftTach: 30277, LeftSteps: 4857, RightTach: 32472, RightSteps: -5076
LeftTach: 42675, LeftSteps: 5162, RightTach: 40193, RightSteps: -5387
LeftTach: 28923, LeftSteps: 5465, RightTach: 29614, RightSteps: -5706
LeftTach: 43214, LeftSteps: 5770, RightTach: 44796, RightSteps: -6025
LeftTach: 32830, LeftSteps: 6075, RightTach: 34025, RightSteps: -6342
LeftTach: 47416, LeftSteps: 6379, RightTach: 50652, RightSteps: -6656
LeftTach: 38599, LeftSteps: 6688, RightTach: 35975, RightSteps: -6972
LeftTach: 34812, LeftSteps: 6991, RightTach: 49310, RightSteps: -7287
LeftTach: 38349, LeftSteps: 7294, RightTach: 39247, RightSteps: -7604
LeftTach: 30818, LeftSteps: 7598, RightTach: 30221, RightSteps: -7922
LeftTach: 44291, LeftSteps: 7899, RightTach: 38593, RightSteps: -8238
LeftTach: 32850, LeftSteps: 8199, RightTach: 29779, RightSteps: -8553
LeftTach: 42771, LeftSteps: 8504, RightTach: 42933, RightSteps: -8871
LeftTach: 31338, LeftSteps: 8804, RightTach: 33023, RightSteps: -9187
LeftTach: 55252, LeftSteps: 9109, RightTach: 46179, RightSteps: -9500
LeftTach: 41143, LeftSteps: 9411, RightTach: 34569, RightSteps: -9818
LeftTach: 52393, LeftSteps: 9711, RightTach: 38608, RightSteps: -10133
LeftTach: 38006, LeftSteps: 10015, RightTach: 35868, RightSteps: -10448
LeftTach: 37054, LeftSteps: 10318, RightTach: 32803, RightSteps: -10762
LeftTach: 42041, LeftSteps: 10621, RightTach: 42340, RightSteps: -11078
LeftTach: 31048, LeftSteps: 10926, RightTach: 29648, RightSteps: -11390
LeftTach: 42779, LeftSteps: 11229, RightTach: 43055, RightSteps: -11707
LeftTach: 36497, LeftSteps: 11532, RightTach: 34340, RightSteps: -12022
LeftTach: 47698, LeftSteps: 11836, RightTach: 44824, RightSteps: -12341
LeftTach: 41023, LeftSteps: 12136, RightTach: 37697, RightSteps: -12656
LeftTach: 38935, LeftSteps: 12440, RightTach: 39191, RightSteps: -12970
LeftTach: 40836, LeftSteps: 12746, RightTach: 36466, RightSteps: -13285
LeftTach: 38720, LeftSteps: 13047, RightTach: 28846, RightSteps: -13598
LeftTach: 42052, LeftSteps: 13349, RightTach: 45030, RightSteps: -13916
LeftTach: 30787, LeftSteps: 13647, RightTach: 35982, RightSteps: -14229
LeftTach: 44369, LeftSteps: 13951, RightTach: 52748, RightSteps: -14544
LeftTach: 39032, LeftSteps: 14256, RightTach: 38916, RightSteps: -14860
LeftTach: 43886, LeftSteps: 14559, RightTach: 53796, RightSteps: -15171
LeftTach: 37621, LeftSteps: 14864, RightTach: 37261, RightSteps: -15489
LeftTach: 31957, LeftSteps: 15168, RightTach: 33279, RightSteps: -15802
LeftTach: 48984, LeftSteps: 15470, RightTach: 40015, RightSteps: -16116
LeftTach: 32610, LeftSteps: 15767, RightTach: 29542, RightSteps: -16435
LeftTach: 54563, LeftSteps: 16065, RightTach: 44694, RightSteps: -16749
LeftTach: 31315, LeftSteps: 16366, RightTach: 31374, RightSteps: -17066
LeftTach: 47845, LeftSteps: 16671, RightTach: 44816, RightSteps: -17382
LeftTach: 36270, LeftSteps: 16974, RightTach: 36974, RightSteps: -17699
LeftTach: 40244, LeftSteps: 17273, RightTach: 41822, RightSteps: -18009
LeftTach: 39166, LeftSteps: 17577, RightTach: 40027, RightSteps: -18323
LeftTach: 30317, LeftSteps: 17879, RightTach: 34072, RightSteps: -18640
