LeftTach: 0, LeftSteps: 0, RightTach: 0, RightSteps: 0
LeftTach: 35028, LeftSteps: 28, RightTach: 27098, RightSteps: -32
LeftTach: 24012, LeftSteps: 69, RightTach: 24508, RightSteps: -75
LeftTach: 28689, LeftSteps: 111, RightTach: 27329, RightSteps: -119
LeftTach: 34079, LeftSteps: 152, RightTach: 33495, RightSteps: -162
LeftTach: 34490, LeftSteps: 194, RightTach: 36082, RightSteps: -205
LeftTach: 23665, LeftSteps: 237, RightTach: 23585, RightSteps: -249
LeftTach: 30871, LeftSteps: 279, RightTach: 26015, RightSteps: -294
LeftTach: 31045, LeftSteps: 320, RightTach: 32328, RightSteps: -337
LeftTach: 35572, LeftSteps: 363, RightTach: 34986, RightSteps: -381
LeftTach: 29718, LeftSteps: 405, RightTach: 27220, RightSteps: -424
LeftTach: 24196, LeftSteps: 448, RightTach: 24499, RightSteps: -469
LeftTach: 28738, LeftSteps: 491, RightTach: 28286, RightSteps: -512
LeftTach: 32224, LeftSteps: 534, RightTach: 31334, RightSteps: -555
LeftTach: 36992, LeftSteps: 575, RightTach: 33902, RightSteps: -599
LeftTach: 22550, LeftSteps: 619, RightTach: 21958, RightSteps: -644
LeftTach: 30218, LeftSteps: 660, RightTach: 26630, RightSteps: -687
LeftTach: 30418, LeftSteps: 702, RightTach: 32143, RightSteps: -730
LeftTach: 33666, LeftSteps: 742, RightTach: 34537, RightSteps: -773
LeftTach: 27308, LeftSteps: 785, RightTach: 27891, RightSteps: -817
LeftTach: 24167, LeftSteps: 827, RightTach: 23411, RightSteps: -862
LeftTach: 28445, LeftSteps: 870, RightTach: 28400, RightSteps: -905
LeftTach: 31146, LeftSteps: 912, RightTach: 34702, RightSteps: -949
LeftTach: 29156, LeftSteps: 955, RightTach: 36380, RightSteps: -992
LeftTach: 24114, LeftSteps: 996, RightTach: 22705, RightSteps: -1036
LeftTach: 28685, LeftSteps: 1038, RightTach: 25555, RightSteps: -1079
LeftTach: 33599, LeftSteps: 1080, RightTach: 32936, RightSteps: -1123
LeftTach: 36157, LeftSteps: 1123, RightTach: 37056, RightSteps: -1166
LeftTach: 25450, LeftSteps: 1166, RightTach: 24535, RightSteps: -1210
LeftTach: 25241, LeftSteps: 1208, RightTach: 23390, RightSteps: -1254
LeftTach: 30937, LeftSteps: 1251, RightTach: 29806, RightSteps: -1297
LeftTach: 34209, LeftSteps: 1294, RightTach: 33382, RightSteps: -1341
LeftTach: 29846, LeftSteps: 1335, RightTach: 29429, RightSteps: -1385
LeftTach: 23738, LeftSteps: 1378, RightTach: 22997, RightSteps: -1428
LeftTach: 26384, LeftSteps: 1420, RightTach: 25378, RightSteps: -1472
LeftTach: 30795, LeftSteps: 1462, RightTach: 30616, RightSteps: -1516
LeftTach: 40480, LeftSteps: 1504, RightTach: 38054, RightSteps: -1559
LeftTach: 25701, LeftSteps: 1547, RightTach: 24735, RightSteps: -1603
LeftTach: 24297, LeftSteps: 1589, RightTach: 24968, RightSteps: -1647
LeftTach: 31592, LeftSteps: 1631, RightTach: 29746, RightSteps: -1690
LeftTach: 35830, LeftSteps: 1673, RightTach: 32781, RightSteps: -1734
LeftTach: 28608, LeftSteps: 1716, RightTach: 26811, RightSteps: -1777
LeftTach: 23472, LeftSteps: 1758, RightTach: 24929, RightSteps: -1821
LeftTach: 31763, LeftSteps: 1800, RightTach: 29488, RightSteps: -1865
LeftTach: 34181, LeftSteps: 1841, RightTach: 29850, RightSteps: -1908
LeftTach: 34373, LeftSteps: 1884, RightTach: 36035, RightSteps: -1951
LeftTach: 24052, LeftSteps: 1927, RightTach: 24191, RightSteps: -1995
LeftTach: 28865, LeftSteps: 1970, RightTach: 26444, RightSteps: -2039
LeftTach: 32938, LeftSteps: 2012, RightTach: 32481, RightSteps: -2082
LeftTach: 32769, LeftSteps: 2054, RightTach: 34593, RightSteps: -2125
LeftTach: 23467, LeftSteps: 2096, RightTach: 24191, RightSteps: -2169
LeftTach: 27588, LeftSteps: 2138, RightTach: 27804, RightSteps: -2214
LeftTach: 28388, LeftSteps: 2181, RightTach: 28856, RightSteps: -2257
LeftTach: 35547, LeftSteps: 2222, RightTach: 37368, RightSteps: -2300
LeftTach: 30127, LeftSteps: 2265, RightTach: 29423, RightSteps: -2343
LeftTach: 24696, LeftSteps: 2307, RightTach: 23332, RightSteps: -2387
LeftTach: 32286, LeftSteps: 2350, RightTach: 30512, RightSteps: -2431
LeftTach: 33635, LeftSteps: 2392, RightTach: 30423, RightSteps: -2475
LeftTach: 39208, LeftSteps: 2434, RightTach: 26558, RightSteps: -2518
LeftTach: 23642, LeftSteps: 2478, RightTach: 23886, RightSteps: -2562
LeftTach: 28353, LeftSteps: 2521, RightTach: 29917, RightSteps: -2606
LeftTach: 31387, LeftSteps: 2564, RightTach: 30868, RightSteps: -2649
LeftTach: 34215, LeftSteps: 2605, RightTach: 33732, RightSteps: -2693
LeftTach: 26296, LeftSteps: 2648, RightTach: 23888, RightSteps: -2736
LeftTach: 25549, LeftSteps: 2690, RightTach: 25888, RightSteps: -2780
LeftTach: 32986, LeftSteps: 2733, RightTach: 30504, RightSteps: -2824
LeftTach: 34846, LeftSteps: 2776, RightTach: 38138, RightSteps: -2866
LeftTach: 29792, LeftSteps: 2818, RightTach: 28081, RightSteps: -2910
LeftTach: 22950, LeftSteps: 2861, RightTach: 22920, RightSteps: -2955
LeftTach: 29401, LeftSteps: 2903, RightTach: 29184, RightSteps: -2998
LeftTach: 33759, LeftSteps: 2947, RightTach: 37022, RightSteps: -3041
LeftTach: 35866, LeftSteps: 2989, RightTach: 35227, RightSteps: -3084
LeftTach: 24403, LeftSteps: 3032, RightTach: 23536, RightSteps: -3128
LeftTach: 29359, LeftSteps: 3074, RightTach: 27712, RightSteps: -3172
LeftTach: 30397, LeftSteps: 3115, RightTach: 30314, RightSteps: -3216
LeftTach: 36378, LeftSteps: 3158, RightTach: 30986, RightSteps: -3259
LeftTach: 24187, LeftSteps: 3201, RightTach: 27210, RightSteps: -3302
LeftTach: 26323, LeftSteps: 3243, RightTach: 25739, RightSteps: -3346
LeftTach: 32149, LeftSteps: 3286, RightTach: 32880, RightSteps: -3389
LeftTach: 33136, LeftSteps: 3329, RightTach: 34159, RightSteps: -3432
LeftTach: 27076, LeftSteps: 3371, RightTach: 27652, RightSteps: -3476
LeftTach: 23712, LeftSteps: 3414, RightTach: 23144, RightSteps: -3520
LeftTach: 28685, LeftSteps: 3456, RightTach: 26840, RightSteps: -3564
LeftTach: 33736, LeftSteps: 3498, RightTach: 31924, RightSteps: -3608
LeftTach: 32522, LeftSteps: 3541, RightTach: 32259, RightSteps: -3652
LeftTach: 24485, LeftSteps: 3583, RightTach: 24380, RightSteps: -3696
LeftTach: 26544, LeftSteps: 3627, RightTach: 24885, RightSteps: -3740
LeftTach: 32896, LeftSteps: 3671, RightTach: 31620, RightSteps: -3784
LeftTach: 33793, LeftSteps: 3714, RightTach: 34957, RightSteps: -3827
LeftTach: 27602, LeftSteps: 3757, RightTach: 26767, RightSteps: -3871
LeftTach: 26458, LeftSteps: 3801, RightTach: 26466, RightSteps: -3915
LeftTach: 32206, LeftSteps: 3843, RightTach: 31826, RightSteps: -3958
LeftTach: 34025, LeftSteps: 3885, RightTach: 32453, RightSteps: -4001
